team,league,last_update,win_percentage,pyth_wpc_id,season,pythagorean_expectation
5635884124656797468,epl,2024-11-20 19:36:03.023093,0.17105263157894737,5635884124656797468_20232024,20232024,0.11145391438488238
1410117033161474103,epl,2024-11-20 19:36:03.023093,0.6447368421052632,1410117033161474103_20232024,20232024,0.6515239477503628
7306292461936365039,epl,2024-11-20 19:36:03.023093,0.5,7306292461936365039_20232024,20232024,0.6033494931687968
6284609380437884545,epl,2024-11-20 19:36:03.023093,0.7368421052631579,6284609380437884545_20232024,20232024,0.7276664316648203
3273228878290405617,epl,2024-11-20 19:36:03.023093,0.5526315789473685,3273228878290405617_20232024,20232024,0.551586125111177
7036765857267909852,epl,2024-11-20 19:36:03.023093,0.5263157894736842,7036765857267909852_20232024,20232024,0.5086949947073945
3688335087272668077,epl,2024-11-20 19:36:03.023093,0.3684210526315789,3688335087272668077_20232024,20232024,0.39180793934926816
8711879115686911218,epl,2024-11-20 19:36:03.023093,0.39473684210526316,8711879115686911218_20232024,20232024,0.4045884527563336
954595822388372406,epl,2024-11-20 19:36:03.023093,0.23684210526315788,954595822388372406_20232024,20232024,0.18519334581910324
8919739036975792627,epl,2024-11-20 19:36:03.023093,0.5657894736842105,8919739036975792627_20232024,20232024,0.6282527881040892
1569170811132348662,epl,2024-11-20 19:36:03.023093,0.8289473684210527,1569170811132348662_20232024,20232024,0.898264263765468
4988756445514637529,epl,2024-11-20 19:36:03.023093,0.618421052631579,4988756445514637529_20232024,20232024,0.573970927863062
7200030820763781741,epl,2024-11-20 19:36:03.023093,0.5394736842105263,7200030820763781741_20232024,20232024,0.6062120189061445
3206381580997914742,epl,2024-11-20 19:36:03.023093,0.5263157894736842,3206381580997914742_20232024,20232024,0.5596156645799971
2077942607848583336,epl,2024-11-20 19:36:03.023093,0.4473684210526316,2077942607848583336_20232024,20232024,0.5086949947073945
6969063678203607188,epl,2024-11-20 19:36:03.023093,0.4473684210526316,6969063678203607188_20232024,20232024,0.3472761767097299
2863505769999014185,epl,2024-11-20 19:36:03.023093,0.5394736842105263,2863505769999014185_20232024,20232024,0.6191383004046656
4359490043602887070,epl,2024-11-20 19:36:03.023093,0.40789473684210525,4359490043602887070_20232024,20232024,0.400990099009901
596527250946991205,epl,2024-11-20 19:36:03.023093,0.19736842105263158,596527250946991205_20232024,20232024,0.0921946941460206
1092108735455696007,epl,2024-11-20 19:36:03.023093,0.75,1092108735455696007_20232024,20232024,0.7835157759175789
